team,P(R32),P(R16),P(QF),P(SF),P(Final),P(Winner)
Brazil,0.98612,0.73284,0.59004,0.43076,0.28552,0.16982
Argentina,0.97654,0.66192,0.44992,0.34292,0.22636,0.14358
Spain,0.97916,0.64144,0.41186,0.2961,0.17882,0.1048
England,0.97708,0.70444,0.49272,0.32618,0.18566,0.10066
Portugal,0.93722,0.67174,0.35178,0.23716,0.13092,0.06894
France,0.92728,0.64998,0.43978,0.25416,0.1332,0.06824
Belgium,0.9303,0.68174,0.47638,0.2248,0.11394,0.05608
Colombia,0.91594,0.6202,0.3083,0.19734,0.09868,0.0493
Netherlands,0.86476,0.4532,0.2813,0.13956,0.07124,0.032
Germany,0.94888,0.60478,0.29712,0.13906,0.06268,0.02532
Uruguay,0.90218,0.43584,0.21888,0.12562,0.05598,0.02446
Morocco,0.88256,0.46114,0.27134,0.11316,0.05206,0.0216
Japan,0.79606,0.36976,0.21174,0.09296,0.04154,0.01614
Ecuador,0.88712,0.49288,0.21816,0.09286,0.03742,0.01398
Switzerland,0.91446,0.53912,0.24522,0.087,0.03336,0.0112
Croatia,0.88296,0.4203,0.18062,0.08666,0.0332,0.01082
Iran,0.7856,0.45084,0.24502,0.08004,0.0291,0.01062
Norway,0.74346,0.37474,0.15968,0.06056,0.02168,0.00836
Algeria,0.78698,0.31234,0.13578,0.06282,0.02204,0.0083
Australia,0.74768,0.39646,0.18872,0.06396,0.0228,0.00774
Mexico,0.90026,0.4769,0.17148,0.06428,0.02136,0.00732
Senegal,0.73218,0.36658,0.15946,0.06214,0.02228,0.0072
Canada,0.92012,0.46656,0.17688,0.05266,0.0167,0.00542
South Korea,0.7648,0.37426,0.1286,0.04408,0.01454,0.0043
United States,0.81882,0.4157,0.17478,0.0494,0.01444,0.00396
Austria,0.70206,0.24788,0.09402,0.03568,0.01076,0.00354
Ivory Coast,0.76984,0.35108,0.12034,0.03884,0.01172,0.0033
Egypt,0.63334,0.2946,0.12666,0.03318,0.0105,0.0029
Sweden,0.5515,0.1866,0.07776,0.02378,0.0071,0.00172
Tunisia,0.50328,0.16188,0.06406,0.01886,0.00602,0.00164
Turkey,0.59322,0.24938,0.09322,0.02342,0.00616,0.00152
Czech Republic,0.66668,0.27708,0.081,0.02216,0.00566,0.0015
Paraguay,0.57658,0.2322,0.08654,0.0228,0.00646,0.00148
Uzbekistan,0.44382,0.1326,0.0373,0.01144,0.00276,0.00068
Scotland,0.57772,0.16824,0.04582,0.0102,0.00248,0.00066
DR Congo,0.32128,0.07894,0.01844,0.00486,0.00096,0.00026
New Zealand,0.33676,0.10556,0.03022,0.0045,0.00072,0.00016
Saudi Arabia,0.38026,0.07646,0.01618,0.0037,0.00058,0.0001
South Africa,0.37142,0.09982,0.02014,0.00348,0.00048,0.0001
Bosnia and Herzegovina,0.3825,0.10472,0.01866,0.0025,0.00034,8e-05
Ghana,0.38468,0.0694,0.0109,0.00252,0.00038,6e-05
Iraq,0.28818,0.07304,0.01796,0.00336,0.00048,4e-05
Jordan,0.21298,0.03458,0.007,0.0012,0.00018,4e-05
Qatar,0.43742,0.12494,0.02348,0.00342,0.00038,2e-05
Cape Verde,0.2921,0.05026,0.00988,0.0015,0.0002,2e-05
Panama,0.34592,0.05628,0.00818,0.00162,0.00012,2e-05
Haiti,0.18728,0.02816,0.00446,0.0005,4e-05,0.0
Curaçao,0.13266,0.0206,0.00222,0.00024,0.0,0.0
